,X,Age,Education,Marital.Status,Gender,Income
181,181,44,Higher Education,Married,Male,27.82514188
182,182,43,Higher Education,Not Married,Female,47.77726972
183,183,30,Higher Education,Not Married,Male,29.33262409
184,184,40,None Higher Education,Married,Male,53.53088014
185,185,37,Higher Education,Married,Male,36.10200814
186,186,34,Higher Education,Married,Male,27.84363486
187,187,41,None Higher Education,Not Married,Female,40.11765412
188,188,53,None Higher Education,Not Married,Female,31.84657094
189,189,31,Higher Education,Married,Female,35.11426224
190,190,58,Higher Education,Married,Male,37.63949192
191,191,38,Higher Education,Not Married,Female,19.74280817
192,192,24,Higher Education,Married,Male,37.32048859
193,193,41,None Higher Education,Married,Male,39.67355545
194,194,47,Higher Education,Married,Male,27.47926297
195,195,41,None Higher Education,Married,Male,49.36713398
196,196,23,None Higher Education,Married,Male,33.06423119
197,197,36,Higher Education,Not Married,Male,43.26114802
198,198,40,Higher Education,Not Married,Female,14.7008325
199,199,35,Higher Education,Married,Male,48.21232252
200,200,24,Higher Education,Not Married,Male,38.57220773
201,201,26,Higher Education,Not Married,Female,34.65843752
202,202,19,Higher Education,Not Married,Male,33.83505368
203,203,51,None Higher Education,Married,Male,53.7895108
204,204,42,Higher Education,Not Married,Female,24.71406356
205,205,37,Higher Education,Not Married,Female,31.56840577
206,206,18,None Higher Education,Not Married,Female,45.25710641
207,207,36,None Higher Education,Married,Male,29.75600474
208,208,35,Higher Education,Not Married,Male,34.66251024
209,209,58,Higher Education,Married,Female,19.46163279
210,210,17,None Higher Education,Not Married,Female,56.01404695
211,211,44,Higher Education,Married,Male,18.07487255
212,212,37,Higher Education,Married,Male,12.73837217
213,213,35,Higher Education,Not Married,Female,39.97599205
214,214,60,Higher Education,Married,Male,28.66589946
215,215,54,None Higher Education,Married,Male,60.3697369
216,216,37,None Higher Education,Not Married,Male,56.21241403
217,217,50,None Higher Education,Not Married,Female,61.265849
218,218,38,None Higher Education,Married,Male,57.34866567
219,219,45,None Higher Education,Married,Male,40.86482399
220,220,25,None Higher Education,Not Married,Male,53.19427194
221,221,31,Higher Education,Married,Male,34.56183148
222,222,64,None Higher Education,Not Married,Male,60.29731814
223,223,90,Higher Education,Not Married,Male,33.35434049
224,224,54,Higher Education,Married,Male,26.60429476
225,225,53,Higher Education,Not Married,Female,31.822428
226,226,18,Higher Education,Not Married,Female,51.08101738
227,227,60,None Higher Education,Not Married,Female,49.30633944
228,228,66,Higher Education,Married,Male,23.35744136
229,229,75,None Higher Education,Not Married,Female,29.46372841
230,230,65,Higher Education,Not Married,Female,20.54859753
231,231,35,None Higher Education,Not Married,Male,42.76068405
232,232,41,Higher Education,Not Married,Female,24.16286873
233,233,25,Higher Education,Not Married,Male,33.51793472
234,234,33,Higher Education,Not Married,Female,47.72721448
235,235,28,Higher Education,Not Married,Male,36.65041746
236,236,59,Higher Education,Married,Male,33.54747446
237,237,40,Higher Education,Not Married,Female,19.92403576
238,238,41,None Higher Education,Married,Male,48.77798024
239,239,38,Higher Education,Married,Male,22.74352204
240,240,23,Higher Education,Not Married,Male,38.32929461
241,241,40,None Higher Education,Married,Male,45.80552645
242,242,41,Higher Education,Married,Female,34.81110882
243,243,24,None Higher Education,Married,Male,39.09749515
244,244,20,Higher Education,Not Married,Male,49.01848455
245,245,38,Higher Education,Not Married,Male,36.55044224
246,246,56,Higher Education,Married,Male,17.2322949
247,247,58,Higher Education,Married,Male,43.16556322
248,248,32,Higher Education,Not Married,Female,30.81565507
249,249,40,None Higher Education,Married,Male,50.49081143
250,250,45,Higher Education,Married,Male,35.1158199
251,251,41,Higher Education,Married,Female,32.97698312
252,252,42,None Higher Education,Married,Female,56.09218639
253,253,59,None Higher Education,Not Married,Female,68.7996896
254,254,19,Higher Education,Not Married,Male,37.18510386
255,255,58,Higher Education,Not Married,Male,32.04322544
256,256,42,Higher Education,Married,Male,31.57865146
257,257,20,Higher Education,Not Married,Female,31.02528996
258,258,32,Higher Education,Not Married,Female,24.39133742
259,259,45,None Higher Education,Not Married,Female,25.24056333
260,260,50,None Higher Education,Not Married,Male,41.99998324
261,261,36,None Higher Education,Not Married,Female,54.93081105
262,262,45,Higher Education,Married,Male,14.84580087
263,263,17,None Higher Education,Not Married,Male,62.50711746
264,264,59,Higher Education,Married,Male,37.38299292
265,265,26,None Higher Education,Married,Male,65.10231346
266,266,37,Higher Education,Married,Male,23.95819266
267,267,19,Higher Education,Not Married,Male,27.64517573
268,268,64,Higher Education,Married,Male,41.33979204
269,269,33,None Higher Education,Not Married,Female,46.57409365
270,270,33,Higher Education,Married,Female,20.24533483
271,271,61,Higher Education,Married,Male,29.76771885
272,272,17,None Higher Education,Not Married,Male,51.57910083
273,273,50,Higher Education,Married,Male,27.75936517
274,274,27,Higher Education,Not Married,Male,24.60386567
275,275,30,Higher Education,Not Married,Female,26.85270758
276,276,43,Higher Education,Married,Male,28.66441468
277,277,44,Higher Education,Married,Male,23.71664618
278,278,35,Higher Education,Not Married,Female,34.66283586
279,279,25,Higher Education,Not Married,Female,29.79535061
280,280,24,Higher Education,Married,Female,34.21507481
281,281,22,None Higher Education,Not Married,Female,61.97786074
282,282,42,Higher Education,Married,Male,19.95004337
283,283,34,None Higher Education,Not Married,Female,39.54096372
284,284,60,None Higher Education,Not Married,Female,35.55539979
285,285,21,Higher Education,Not Married,Male,44.92941634
286,286,57,Higher Education,Married,Male,35.71817086
287,287,41,Higher Education,Married,Male,28.56796414
288,288,50,Higher Education,Not Married,Male,44.34620477
289,289,25,None Higher Education,Not Married,Female,51.69076973
290,290,50,None Higher Education,Married,Male,62.61216684
291,291,36,None Higher Education,Married,Male,45.75522151
292,292,31,Higher Education,Not Married,Female,25.16718531
293,293,29,None Higher Education,Not Married,Male,70.62091327
294,294,21,Higher Education,Not Married,Male,26.0537486
295,295,27,None Higher Education,Not Married,Female,43.64218568
296,296,65,Higher Education,Married,Male,29.12436076
297,297,37,None Higher Education,Not Married,Female,39.37798939
298,298,39,Higher Education,Married,Female,17.21013601
299,299,24,Higher Education,Not Married,Male,23.03303534
300,300,38,Higher Education,Not Married,Male,44.61905901
301,301,48,None Higher Education,Married,Male,47.7254869
302,302,21,Higher Education,Not Married,Female,36.40134903
303,303,31,Higher Education,Married,Male,21.58439654
304,304,55,Higher Education,Married,Male,32.3048171
305,305,24,Higher Education,Married,Female,34.07040862
306,306,43,Higher Education,Not Married,Female,34.6968222
307,307,26,None Higher Education,Not Married,Male,61.83852455
308,308,46,None Higher Education,Not Married,Female,48.61955132
309,309,35,None Higher Education,Married,Male,42.27110442
310,310,41,Higher Education,Married,Male,48.39742514
311,311,26,None Higher Education,Not Married,Male,41.89664789
312,312,34,Higher Education,Married,Male,35.65985022
313,313,19,Higher Education,Not Married,Female,22.85178996
314,314,36,None Higher Education,Not Married,Female,59.13583995
315,315,22,Higher Education,Not Married,Male,17.32655655
316,316,24,Higher Education,Not Married,Male,33.02450891
317,317,77,Higher Education,Married,Male,26.75137334
318,318,22,None Higher Education,Married,Female,46.24574249
319,319,29,Higher Education,Not Married,Female,16.33187006
320,320,62,Higher Education,Not Married,Female,33.17535944
321,321,39,Higher Education,Married,Male,35.63320996
322,322,43,Higher Education,Married,Male,32.83443672
323,323,35,Higher Education,Not Married,Male,26.28117745
324,324,29,None Higher Education,Not Married,Female,65.65269218
325,325,76,Higher Education,Married,Male,25.83471966
326,326,63,Higher Education,Married,Male,26.5494718
327,327,23,None Higher Education,Not Married,Female,64.94430028
328,328,43,Higher Education,Married,Female,37.27378194
329,329,58,Higher Education,Married,Male,35.00918291
330,330,66,Higher Education,Not Married,Male,36.22149774
331,331,41,Higher Education,Not Married,Male,39.79832716
332,332,26,None Higher Education,Not Married,Male,47.03422408
333,333,47,None Higher Education,Not Married,Male,25.67831691
334,334,55,None Higher Education,Married,Male,57.10754422
335,335,53,Higher Education,Married,Male,39.46704437
336,336,17,None Higher Education,Not Married,Male,53.23618993
337,337,30,Higher Education,Not Married,Male,20.14466768
338,338,49,Higher Education,Not Married,Male,33.7623335
339,339,19,Higher Education,Not Married,Male,17.69888435
340,340,45,Higher Education,Married,Male,24.41371254
341,341,26,None Higher Education,Not Married,Male,59.68413478
342,342,38,None Higher Education,Married,Male,54.75087301
343,343,36,Higher Education,Married,Male,42.70419623
344,344,33,Higher Education,Not Married,Male,39.81452011
345,345,22,Higher Education,Not Married,Female,25.41372953
346,346,43,None Higher Education,Not Married,Male,50.34974608
347,347,67,None Higher Education,Married,Male,47.52927462
348,348,30,None Higher Education,Not Married,Female,45.666576
349,349,56,None Higher Education,Married,Male,52.26641587
350,350,31,None Higher Education,Not Married,Male,55.4507965
351,351,33,None Higher Education,Married,Male,69.94872759
352,352,26,Higher Education,Married,Male,33.32447524
353,353,33,None Higher Education,Married,Male,41.63838115
354,354,46,None Higher Education,Married,Male,43.65218234
355,355,59,None Higher Education,Married,Male,48.88296555
356,356,38,Higher Education,Married,Male,9.477547396
357,357,65,None Higher Education,Not Married,Male,35.50265474
358,358,40,None Higher Education,Married,Male,64.41750421
359,359,42,Higher Education,Married,Female,26.06637008
360,360,26,None Higher Education,Married,Male,41.69431427
361,361,36,None Higher Education,Married,Female,33.0124463
362,362,62,Higher Education,Married,Male,27.96048597
363,363,43,None Higher Education,Married,Male,60.16990719
364,364,43,None Higher Education,Not Married,Male,49.46872263
365,365,22,Higher Education,Married,Male,32.97691038
366,366,28,Higher Education,Married,Male,39.789209
367,367,56,Higher Education,Married,Male,29.3434925
368,368,22,None Higher Education,Not Married,Female,52.57466769
369,369,57,None Higher Education,Not Married,Female,45.95465598
370,370,39,Higher Education,Not Married,Female,24.51300798
371,371,26,Higher Education,Not Married,Female,32.84597924
372,372,17,None Higher Education,Not Married,Male,44.77300543
373,373,40,None Higher Education,Married,Male,41.66483088
374,374,45,Higher Education,Married,Male,23.30083671
375,375,44,Higher Education,Not Married,Male,31.49148277
376,376,20,Higher Education,Not Married,Female,36.61300619
377,377,33,Higher Education,Married,Female,32.34760841
378,378,23,Higher Education,Not Married,Male,4.058186328
379,379,46,Higher Education,Not Married,Male,12.25417821
380,380,38,Higher Education,Married,Male,26.86371157
381,381,54,Higher Education,Not Married,Male,24.85719286
382,382,46,None Higher Education,Not Married,Female,50.42596698
383,383,25,Higher Education,Married,Male,28.84298738
384,384,46,Higher Education,Not Married,Female,39.74591772
385,385,36,Higher Education,Married,Female,34.84955314
386,386,23,Higher Education,Not Married,Female,27.90019424
387,387,29,Higher Education,Not Married,Male,43.27779427
388,388,44,Higher Education,Married,Female,22.21928174
389,389,19,Higher Education,Not Married,Female,36.32391643
390,390,19,Higher Education,Not Married,Female,20.17305944
391,391,35,Higher Education,Married,Female,41.29223476
392,392,27,None Higher Education,Not Married,Male,39.1019612
393,393,46,None Higher Education,Not Married,Male,50.19757925
394,394,34,None Higher Education,Married,Male,47.50568234
395,395,34,Higher Education,Not Married,Female,35.22920938
396,396,44,Higher Education,Married,Male,34.11125384
397,397,45,Higher Education,Not Married,Female,30.13633031
398,398,20,Higher Education,Not Married,Female,46.828088
399,399,25,None Higher Education,Married,Male,42.67468401
400,400,52,None Higher Education,Married,Male,66.23127886
401,401,20,Higher Education,Not Married,Male,45.58317577
402,402,28,Higher Education,Not Married,Female,27.33891325
403,403,50,None Higher Education,Married,Male,61.28499491
404,404,34,None Higher Education,Not Married,Female,25.8079784
405,405,28,None Higher Education,Married,Male,33.66907381
406,406,41,Higher Education,Married,Male,12.00013015
407,407,28,Higher Education,Married,Male,12.32884956
408,408,46,Higher Education,Married,Male,25.40733903
409,409,28,Higher Education,Married,Female,26.22583066
410,410,32,Higher Education,Married,Male,22.2504583
411,411,41,Higher Education,Not Married,Female,30.04754317
412,412,24,Higher Education,Not Married,Female,34.09407213
413,413,33,Higher Education,Not Married,Female,34.76649651
414,414,46,Higher Education,Married,Male,35.18496278
415,415,31,Higher Education,Married,Male,47.29297875
416,416,35,None Higher Education,Not Married,Male,40.50512604
417,417,52,None Higher Education,Married,Male,46.39250986
418,418,30,None Higher Education,Not Married,Female,54.60071693
419,419,34,None Higher Education,Not Married,Male,50.20773839
420,420,34,Higher Education,Not Married,Female,38.61534903
421,421,20,Higher Education,Married,Male,25.20764158
422,422,17,None Higher Education,Not Married,Male,51.71186682
423,423,32,None Higher Education,Married,Female,46.73151268
424,424,29,Higher Education,Not Married,Male,27.07075314
425,425,33,None Higher Education,Not Married,Female,34.95192401
426,426,25,Higher Education,Married,Male,24.7165102
427,427,36,Higher Education,Not Married,Male,27.9641057
428,428,23,Higher Education,Not Married,Male,25.24338798
429,429,63,Higher Education,Married,Male,37.93452522
430,430,47,Higher Education,Married,Male,41.59192676
431,431,80,Higher Education,Not Married,Male,28.11823528
432,432,17,None Higher Education,Not Married,Male,60.69938668
433,433,40,None Higher Education,Married,Female,57.28742339
434,434,30,None Higher Education,Married,Female,55.98116907
435,435,27,Higher Education,Not Married,Male,24.99679855
436,436,33,Higher Education,Married,Male,46.15682803
437,437,34,Higher Education,Not Married,Male,35.1413028
438,438,34,Higher Education,Not Married,Female,37.71131333
439,439,23,Higher Education,Married,Male,31.88995161
440,440,42,Higher Education,Married,Female,7.624314275
441,441,29,None Higher Education,Not Married,Male,45.07292531
442,442,45,Higher Education,Not Married,Female,15.74872812
443,443,24,Higher Education,Not Married,Male,13.65918036
444,444,44,Higher Education,Married,Male,36.96172456
445,445,27,None Higher Education,Not Married,Male,40.30646054
446,446,20,Higher Education,Not Married,Male,20.37593504
447,447,44,Higher Education,Not Married,Female,31.30612858
448,448,51,Higher Education,Married,Male,35.94041982
449,449,20,Higher Education,Married,Male,8.92659775
450,450,17,None Higher Education,Not Married,Female,40.66617507
451,451,19,Higher Education,Not Married,Female,33.89392232
452,452,45,Higher Education,Married,Male,55.32966089
453,453,60,Higher Education,Married,Male,25.89177506
454,454,42,None Higher Education,Married,Male,31.96630736
455,455,44,Higher Education,Married,Female,27.47323648
456,456,40,None Higher Education,Married,Male,46.35837998
457,457,30,Higher Education,Married,Female,21.15198636
458,458,38,Higher Education,Married,Male,17.83787871
459,459,23,Higher Education,Married,Male,19.82610161
460,460,32,Higher Education,Married,Male,36.79607895
461,461,44,None Higher Education,Not Married,Male,64.64031827
462,462,54,Higher Education,Married,Male,54.82619665
463,463,32,None Higher Education,Married,Male,53.50274003
464,464,50,None Higher Education,Married,Male,47.26531531
465,465,24,None Higher Education,Not Married,Female,44.77676971
466,466,37,Higher Education,Married,Female,26.46185121
467,467,52,Higher Education,Not Married,Male,17.09040677
468,468,38,Higher Education,Married,Male,40.29752609
469,469,49,Higher Education,Married,Male,33.49910137
470,470,30,None Higher Education,Married,Female,67.76833287
471,471,60,Higher Education,Not Married,Male,34.00353573
472,472,22,Higher Education,Not Married,Male,38.1031012
473,473,35,Higher Education,Not Married,Male,37.95169024
474,474,30,Higher Education,Not Married,Male,20.39198154
475,475,67,None Higher Education,Not Married,Female,61.43519582
476,476,46,None Higher Education,Not Married,Female,43.22003204
477,477,17,None Higher Education,Not Married,Male,64.07428664
478,478,22,Higher Education,Not Married,Male,17.40778208
479,479,27,None Higher Education,Not Married,Male,54.04821069
480,480,23,Higher Education,Not Married,Female,38.03304697
481,481,33,None Higher Education,Married,Male,46.40083151
482,482,43,Higher Education,Married,Male,44.44456691
483,483,28,None Higher Education,Not Married,Male,55.33715813
484,484,41,Higher Education,Married,Female,19.15159412
485,485,52,None Higher Education,Not Married,Male,53.10933786
486,486,25,Higher Education,Married,Female,18.83141902
487,487,63,None Higher Education,Married,Male,25.87672855
488,488,59,Higher Education,Married,Male,44.73241347
489,489,45,None Higher Education,Not Married,Female,54.72047771
490,490,38,None Higher Education,Married,Male,61.36702891
491,491,40,Higher Education,Not Married,Female,46.79865831
492,492,46,Higher Education,Not Married,Male,39.56070661
493,493,35,None Higher Education,Not Married,Female,44.65060213
494,494,34,Higher Education,Not Married,Female,30.64583528
495,495,33,None Higher Education,Not Married,Male,47.65329243
496,496,41,Higher Education,Not Married,Female,16.89387523
497,497,20,Higher Education,Not Married,Male,36.3150634
498,498,23,None Higher Education,Not Married,Male,56.06223459
499,499,26,Higher Education,Not Married,Female,23.2060386
500,500,72,Higher Education,Married,Male,14.22753498
501,501,23,Higher Education,Not Married,Male,21.7336576
502,502,62,Higher Education,Married,Male,33.74680061
503,503,52,Higher Education,Married,Male,21.5969183
504,504,58,Higher Education,Not Married,Female,36.19699337
505,505,25,None Higher Education,Not Married,Female,35.33087823
506,506,24,None Higher Education,Not Married,Male,40.40660774
507,507,19,Higher Education,Not Married,Male,29.36667428
508,508,43,Higher Education,Married,Male,22.20967522
509,509,47,Higher Education,Not Married,Female,8.839722421
510,510,39,Higher Education,Not Married,Female,8.782383742
511,511,49,None Higher Education,Married,Male,53.44274811
512,512,53,None Higher Education,Not Married,Female,46.1775831
513,513,32,None Higher Education,Not Married,Male,43.39630295
514,514,34,Higher Education,Married,Male,39.15899123
515,515,28,Higher Education,Not Married,Male,22.18780762
516,516,57,None Higher Education,Not Married,Female,38.47488985
517,517,25,Higher Education,Not Married,Female,35.00739789
518,518,20,Higher Education,Not Married,Male,35.79923257
519,519,21,Higher Education,Not Married,Female,29.39992157
520,520,34,None Higher Education,Married,Male,52.10241887
521,521,38,None Higher Education,Married,Male,55.44832207
522,522,50,Higher Education,Married,Male,31.56697138
523,523,24,Higher Education,Not Married,Male,33.26036906
524,524,37,Higher Education,Married,Male,25.51991979
525,525,44,Higher Education,Not Married,Male,10.37630846
526,526,28,Higher Education,Married,Female,19.31951106
527,527,42,None Higher Education,Married,Male,41.51813916
528,528,74,Higher Education,Not Married,Female,42.38894496
529,529,38,Higher Education,Married,Male,20.95747748
530,530,44,Higher Education,Married,Male,31.64793006
531,531,44,None Higher Education,Not Married,Female,43.41893001
532,532,26,Higher Education,Not Married,Male,31.88994007
533,533,36,Higher Education,Married,Male,25.29573163
534,534,41,None Higher Education,Married,Female,55.74249323
535,535,67,Higher Education,Married,Male,37.49906276
536,536,39,None Higher Education,Married,Male,29.26086646
537,537,57,None Higher Education,Not Married,Female,56.37508969
538,538,29,None Higher Education,Not Married,Male,44.10429219
539,539,31,None Higher Education,Not Married,Female,65.63304113
540,540,34,Higher Education,Not Married,Female,39.84342001
541,541,44,Higher Education,Married,Male,14.26933731
542,542,29,Higher Education,Not Married,Male,31.48013791
543,543,30,Higher Education,Not Married,Female,37.28293297
544,544,27,Higher Education,Not Married,Male,36.16834981
545,545,27,Higher Education,Married,Male,18.8558914
546,546,32,Higher Education,Not Married,Female,32.78251117
547,547,58,None Higher Education,Married,Female,46.96754872
548,548,35,Higher Education,Married,Male,34.97488308
549,549,21,Higher Education,Not Married,Male,28.73224875
